0,1,2,3,4,5,6,7
구분,,2020년 결산,2021년 결산,2022년 결산,2023년 결산,2024년 결산,2025년 예산
"정부순지원
수입",출연금,-,-,-,-,-,-
,출자금,-,-,-,-,-,-
,보조금,"10,695","9,310","10,662","11,274","11,470","10,303"
,부담금,-,-,-,-,-,-
,이전수입,-,-,-,-,-,-
,위탁수입,-,-,-,-,-,-
,기타수입,-,-,-,-,-,-
,합계,"10,695","9,310","10,662","11,274","11,470","10,303"
정부순지원수입 세부자료,,"정부순지원수입
세부자료 고유 및
기금사업
(2018_2020).hwp","정부순지원수입
세부자료 고유 및
기금사업
(2019_2021).hwp","정부순지원수입
세부자료 고유 및
기금사업
(2020_2022).hwp","정부순지원수입
세부자료 고유 및
기금사업
(2021_2023).hwp","정부순지원수입
세부자료 고유 및
기금사업
(2022_2024).hwp","정부순지원수입
세부자료 고유 및
기금사업
(2023_2025).hwp"
