0,1,2,3,4,5,6,7,8,9,10
구분,"2020년
반기","2020년
결산","2021년
반기","2021년
결산","2022년
반기","2022년
결산","2023년
반기","2023년
결산","2024년
반기","2024년
결산"
기초잔액,149,149,150,150,24,24,135,135,199,199
기말잔액,140,150,80,24,14,135,100,199,173,169
변동금액,-9,1,-70,-126,-10,111,-35,64,-26,-30
변동사유(차입목적),리스부채,리스부채,리스부채,리스부채,리스부채,리스부채,리스부채,리스부채,리스부채,리스부채
주요 차입형태,리스부채,리스부채,리스부채,리스부채,리스부채,리스부채,리스부채,리스부채,리스부채,리스부채
자기자본대비비율,-0.00,0.00,-0.02,-0.04,0.00,0.04,-0.01,0.02,-0.01,-0.01
차입금의존도,0.03,0.03,0.01,0.00,0.00,0.02,0.02,0.04,0.04,0.04
