프로그램,채널,프로그램몰입도(PEI),프로그램몰입도(PEI) 분포
그것이 알고싶다,SBS,133.9,상위10%
그녀로 말할 것 같으면,SBS,127.7,상위20%
이규연의 스포트라이트,JTBC,127.7,상위20%
오늘의 탐정,KBS2,126.5,상위20%
김제동의 톡투유2,JTBC,126,상위30%
나 혼자 산다,MBC,125.9,상위30%
제 3의 매력,JTBC,125.6,상위30%
흉부외과,SBS,124.8,상위30%
끝까지 사랑,KBS2,124.3,상위30%
대화의 희열,KBS2,124.3,상위30%
"JTBC 특집프로그램 - 서울 평양, 두 도시 이야기",JTBC,124.1,상위30%
내 뒤에 테리우스,MBC,123.7,상위30%
히든싱어5,JTBC,123.3,상위40%
전지적 참견시점,MBC,122.8,상위40%
볼빨간 당신,KBS2,122.8,상위40%
차이나는 클라스,JTBC,121.6,상위40%
썰전,JTBC,121.5,상위40%
JTBC 뉴스룸,JTBC,120.6,상위50%
라디오스타,MBC,120.6,상위50%
쌤의 전쟁,KBS2,119.5,상위50%
동상이몽2 너는 내 운명,SBS,119.5,상위50%
부잣집 아들,MBC,118.7,상위60%
댄싱하이,KBS2,118.4,상위60%
백년손님,SBS,118.4,상위60%
옥란면옥,KBS2,117.9,상위60%
SBS 8 뉴스,SBS,117.3,상위60%
복면가왕,MBC,116.7,상위60%
숨바꼭질,MBC,116.4,상위70%
러블리 호러블리,KBS2,115.8,상위70%
