매체 유형,세부 광고유형,년도,매출액(백만원),구성비율
방송,지상파TV,2021,1359684,33.5
방송,지상파DMB,2021,2195,0.1
방송,PP,2021,2182364,53.8
방송,SO,2021,109012,2.7
방송,위성방송,2021,32978,0.8
방송,IPTV,2021,107056,2.6
방송,라디오,2021,259767,6.4
온라인,PC,2021,1779736,22.2
온라인,모바일,2021,6223908,77.8
옥외,빌보드,2021,351470,37.8
옥외,교통,2021,382669,41.1
옥외,엔터테인먼트,2021,136694,14.7
옥외,기타,2021,59365,6.4
인쇄,신문,2021,1708087,84.5
인쇄,잡지,2021,312679,15.5
기타,생활정보,2021,141306,27.7
기타,취업정보,2021,245757,48.2
기타,DM,2021,71847,14.1
기타,방송제작사,2021,50803,10
방송,지상파TV,2022,1376216,34.2
방송,지상파DMB,2022,2203,0.1
방송,PP,2022,2152390,53.5
방송,SO,2022,109596,2.7
방송,위성방송,2022,30656,0.8
방송,IPTV,2022,96107,2.4
방송,라디오,2022,254022,6.3
온라인,PC,2022,1902682,21.9
온라인,모바일,2022,6803489,78.1
옥외,빌보드,2022,397332,37.2
옥외,교통,2022,437456,40.9
옥외,엔터테인먼트,2022,156304,14.6
옥외,기타,2022,78243,7.3
인쇄,신문,2022,1801374,84.7
인쇄,잡지,2022,326363,15.3
기타,생활정보,2022,155207,26
기타,취업정보,2022,291414,48.9
기타,DM,2022,79612,13.4
기타,방송제작사,2022,69609,11.7
방송,지상파TV,2023,1109433,32.7
방송,지상파DMB,2023,1280,0
방송,PP,2023,1852745,54.7
방송,SO,2023,110501,3.3
방송,위성방송,2023,27521,0.8
방송,IPTV,2023,72415,2.1
방송,라디오,2023,215956,6.4
온라인,PC,2023,2076573,22.2
온라인,모바일,2023,7288683,77.8
옥외,빌보드,2023,423480,34.7
옥외,교통,2023,455242,37.3
옥외,엔터테인먼트,2023,200546,16.4
옥외,기타,2023,141536,11.6
인쇄,신문,2023,1723915,85.1
인쇄,잡지,2023,302159,14.9
기타,생활정보,2023,145042,26.9
기타,취업정보,2023,232052,43.1
기타,DM,2023,80443,14.9
기타,방송제작사,2023,81491,15.1
방송,지상파TV,2024(e),975660,32.3
방송,지상파DMB,2024(e),1220,0
방송,PP,2024(e),1691875,55.9
방송,SO,2024(e),92504,3.1
방송,위성방송,2024(e),20754,0.7
방송,IPTV,2024(e),62247,2.1
방송,라디오,2024(e),181029,6
온라인,PC,2024(e),2255583,22.3
온라인,모바일,2024(e),7880233,77.7
옥외,빌보드,2024(e),430822,34.2
옥외,교통,2024(e),457457,36.3
옥외,엔터테인먼트,2024(e),220249,17.5
옥외,기타,2024(e),150613,12
인쇄,신문,2024(e),1736890,85.2
인쇄,잡지,2024(e),302487,14.8
기타,생활정보,2024(e),146052,27
기타,취업정보,2024(e),236079,43.6
기타,DM,2024(e),77935,14.4
기타,방송제작사,2024(e),80967,15
방송,지상파TV,2025(e),971662,32.8
방송,지상파DMB,2025(e),1165,0
방송,PP,2025(e),1641169,55.4
방송,SO,2025(e),78807,2.7
방송,위성방송,2025(e),20075,0.7
방송,IPTV,2025(e),67380,2.3
방송,라디오,2025(e),181251,6.1
온라인,PC,2025(e),2337198,21.9
온라인,모바일,2025(e),8310837,78.1
옥외,빌보드,2025(e),443216,34.6
옥외,교통,2025(e),463268,36.2
옥외,엔터테인먼트,2025(e),224806,17.6
옥외,기타,2025(e),149180,11.7
인쇄,신문,2025(e),1727899,85.3
인쇄,잡지,2025(e),296714,14.7
기타,생활정보,2025(e),142880,26.3
기타,취업정보,2025(e),238393,44
기타,DM,2025(e),77412,14.3
기타,방송제작사,2025(e),83588,15.4
