년도,방송 유형,세부 광고유형,매출액(백만원),구성비율
2022,지상파TV,프로그램광고,544133,39.5
2022,지상파TV,토막광고,107271,7.8
2022,지상파TV,중간광고,302211,22
2022,지상파TV,자막광고,3638,0.3
2022,지상파TV,시보광고,13279,1
2022,지상파TV,가상광고,46776,3.4
2022,지상파TV,간접광고,39377,2.9
2022,지상파TV,방송협찬,319532,23.2
2022,지상파DMB,프로그램광고,1330,60.4
2022,지상파DMB,방송협찬,873,39.6
2022,PP,프로그램/자막/시보/ 토막광고,1485428,69
2022,PP,Addressable광고,1342,0.1
2022,PP,가상광고,125376,5.8
2022,PP,간접광고,23616,1.1
2022,PP,방송협찬,516629,24
2022,SO,VOD광고,11830,10.8
2022,SO,큐톤광고,94944,86.6
2022,SO,기타광고,2821,2.6
2022,위성방송,채널광고(SB),30656,100
2022,IPTV,VOD광고,40463,42.1
2022,IPTV,큐톤광고,53377,55.5
2022,IPTV,Addressable광고,2267,2.4
2022,라디오,프로그램광고,97806,38.5
2022,라디오,토막광고,41821,16.5
2022,라디오,시보광고,7971,3.1
2022,라디오,방송협찬,106424,41.9
2023,지상파TV,프로그램광고,394817,35.6
2023,지상파TV,토막광고,88782,8
2023,지상파TV,중간광고,243189,21.9
2023,지상파TV,자막광고,3678,0.3
2023,지상파TV,시보광고,8628,0.8
2023,지상파TV,가상광고,33051,3
2023,지상파TV,간접광고,31436,2.8
2023,지상파TV,방송협찬,305852,27.6
2023,지상파DMB,프로그램광고,588,45.9
2023,지상파DMB,방송협찬,692,54.1
2023,PP,프로그램/자막/시보/ 토막광고,1216315,65.6
2023,PP,Addressable광고,0,0
2023,PP,가상광고,115064,6.2
2023,PP,간접광고,19635,1.1
2023,PP,방송협찬,501731,27.1
2023,SO,VOD광고,10044,9.1
2023,SO,큐톤광고,97977,76.6
2023,SO,기타광고,2479,2.2
2023,위성방송,채널광고(SB),27521,100
2023,IPTV,VOD광고,17028,23.5
2023,IPTV,큐톤광고,46379,64
2023,IPTV,Addressable광고,9008,12.4
2023,라디오,프로그램광고,88105,40.8
2023,라디오,토막광고,27939,12.9
2023,라디오,시보광고,7714,3.6
2023,라디오,방송협찬,92198,42.7
2024(e),지상파TV,프로그램광고,334053,34.2
2024(e),지상파TV,토막광고,74957,7.7
2024(e),지상파TV,중간광고,230160,23.6
2024(e),지상파TV,자막광고,3919,0.4
2024(e),지상파TV,시보광고,8969,0.9
2024(e),지상파TV,가상광고,34268,3.5
2024(e),지상파TV,간접광고,42005,4.3
2024(e),지상파TV,방송협찬,247329,25.3
2024(e),지상파DMB,프로그램광고,565,46.3
2024(e),지상파DMB,방송협찬,655,53.7
2024(e),PP,프로그램/자막/시보/ 토막광고,1067188,63.1
2024(e),PP,Addressable광고,0,0
2024(e),PP,가상광고,103242,6.1
2024(e),PP,간접광고,18953,1.1
2024(e),PP,방송협찬,502492,29.7
2024(e),SO,VOD광고,6725,7.3
2024(e),SO,큐톤광고,83608,90.4
2024(e),SO,기타광고,2170,2.3
2024(e),위성방송,채널광고(SB),20754,100
2024(e),IPTV,VOD광고,10144,16.3
2024(e),IPTV,큐톤광고,43571,70
2024(e),IPTV,Addressable광고,8533,13.7
2024(e),라디오,프로그램광고,70717,39.1
2024(e),라디오,토막광고,28377,15.7
2024(e),라디오,시보광고,5524,3.1
2024(e),라디오,방송협찬,76411,42.2
2025(e),지상파TV,프로그램광고,331227,34.1
2025(e),지상파TV,토막광고,75443,7.8
2025(e),지상파TV,중간광고,230778,23.8
2025(e),지상파TV,자막광고,3957,0.4
2025(e),지상파TV,시보광고,8809,0.9
2025(e),지상파TV,가상광고,34380,3.5
2025(e),지상파TV,간접광고,42867,4.4
2025(e),지상파TV,방송협찬,244201,25.1
2025(e),지상파DMB,프로그램광고,534,45.9
2025(e),지상파DMB,방송협찬,631,54.1
2025(e),PP,프로그램/자막/시보/ 토막광고,1018563,62.1
2025(e),PP,Addressable광고,0,0
2025(e),PP,가상광고,102017,6.2
2025(e),PP,간접광고,18105,1.1
2025(e),PP,방송협찬,502485,30.6
2025(e),SO,VOD광고,6014,7.6
2025(e),SO,큐톤광고,70804,89.8
2025(e),SO,기타광고,1989,2.5
2025(e),위성방송,채널광고(SB),20075,100
2025(e),IPTV,VOD광고,7038,10.4
2025(e),IPTV,큐톤광고,50106,74.4
2025(e),IPTV,Addressable광고,10236,15.2
2025(e),라디오,프로그램광고,71153,39.3
2025(e),라디오,토막광고,28129,15.5
2025(e),라디오,시보광고,5513,3
2025(e),라디오,방송협찬,76456,42.2
