년도,온라인 유형,세부 광고유형,매출액(백만원),구성비율
2022,PC,전체,1902682,100
2022,PC,디스플레이광고,934802,49.1
2022,PC,검색광고,967879,50.9
2022,모바일,전체,6803489,100
2022,모바일,디스플레이광고,3242613,47.7
2022,모바일,검색광고,3560875,52.3
2023,PC,전체,2076573,100
2023,PC,디스플레이광고,966285,46.5
2023,PC,검색광고,1110288,53.5
2023,모바일,전체,7288683,100
2023,모바일,디스플레이광고,3493839,47.9
2023,모바일,검색광고,3794844,52.1
2024(e),PC,전체,2255583,100
2024(e),PC,디스플레이광고,1023996,45.4
2024(e),PC,검색광고,1231587,54.6
2024(e),모바일,전체,7880233,100
2024(e),모바일,디스플레이광고,3789774,48.1
2024(e),모바일,검색광고,4090459,51.9
2025(e),PC,전체,2337198,100
2025(e),PC,디스플레이광고,1050640,45
2025(e),PC,검색광고,1286559,55
2025(e),모바일,전체,8310837,100
2025(e),모바일,디스플레이광고,4019981,48.4
2025(e),모바일,검색광고,4290856,51.6
