년도,매체 유형,신입_1년이상근무자,신입_1년미만근무자,경력_1년이상근무자,경력_1년미만근무자,계
2021,지상파TV,5,2,2,0,9
2021,지상파DMB,0,0,0,0,0
2021,PP,2,0,18,4,24
2021,SO,2,0,0,2,4
2021,위성방송,0,2,1,0,3
2021,IPTV,0,0,0,0,0
2021,라디오,0,0,0,0,0
2021,신문,19,41,16,6,82
2021,잡지,10,29,15,14,68
2021,PC,25,99,14,25,163
2021,모바일,0,0,0,0,0
2021,옥외,22,0,21,0,43
2021,DM,2,10,11,0,23
2021,생활정보,2,10,1,2,15
2021,취업정보,2,0,7,0,9
2021,방송제작사,6,0,8,0,14
2022,지상파TV,2,0,1,2,5
2022,지상파DMB,0,0,0,0,0
2022,PP,9,1,12,2,24
2022,SO,2,0,10,0,12
2022,위성방송,0,0,0,0,0
2022,IPTV,4,0,6,0,10
2022,라디오,0,0,0,0,0
2022,신문,38,90,310,62,500
2022,잡지,15,16,20,0,51
2022,PC,6,20,0,0,26
2022,모바일,18,15,20,6,59
2022,옥외,11,1,16,2,30
2022,DM,1,0,2,0,3
2022,생활정보,0,4,7,3,14
2022,취업정보,21,0,18,2,41
2022,방송제작사,0,0,11,0,11
2023,지상파TV,2,3,7,0,12
2023,지상파DMB,0,0,0,0,0
2023,PP,11,0,26,0,37
2023,SO,3,0,11,0,14
2023,위성방송,0,0,0,0,0
2023,IPTV,3,0,7,0,10
2023,라디오,0,0,1,0,1
2023,신문,19,8,60,18,105
2023,잡지,0,3,8,3,14
2023,PC,7,0,2,2,11
2023,모바일,54,0,18,0,72
2023,옥외,36,23,60,6,125
2023,DM,1,0,1,0,2
2023,생활정보,2,0,10,0,12
2023,취업정보,2,0,2,4,8
2023,방송제작사,22,9,8,4,43
